history_length,transfer_entropy,runtime_seconds
2,0.502194503,5.910370588
2,0.497932759,0.6907866
2,0.501436692,0.759954453
2,0.499860111,0.632807016
2,0.493163279,0.640608788
2,0.493903893,0.646267891
2,0.49538564,0.755011797
2,0.490908443,0.615423203
2,0.491499726,0.660150051
2,0.495290234,0.60016489
4,0.367844326,4.504648685
4,0.373766442,3.819991827
4,0.367200643,4.009970903
4,0.368737636,3.859961748
4,0.359833622,3.959652662
4,0.38223707,3.975126266
4,0.370883517,3.959649086
4,0.361679708,4.044098139
4,0.365412927,3.915442228
4,0.374399838,3.864804506
8,0.284300161,25.1512692
8,0.281633297,24.72613955
8,0.286606,24.06322575
8,0.29336927,25.23554969
8,0.279652095,24.82965636
8,0.275239772,24.02753472
8,0.29317479,24.78381181
8,0.272358805,24.359725
8,0.278933241,24.84406424
8,0.28966243,24.61554003
16,0.225806164,90.29280281
16,0.199597979,90.14483523
16,0.224204889,80.25082231
16,0.215723892,82.32842326
16,0.21664575,80.92971921
16,0.236487293,82.04715276
16,0.229929792,79.39855862
16,0.227172514,82.79708838
16,0.221084448,89.44184208
16,0.239939392,88.51999402
32,0.18002425,231.0799253
32,0.169218352,228.9059384
32,0.13068554,229.9760592
32,0.171736569,229.2246573
32,0.165214256,231.7774889
32,0.17939937,262.5620785
32,0.169280648,251.9384389
32,0.152149745,233.1919866
32,0.210315714,233.975177
32,0.154212972,231.715215
64,0.084102747,484.0852168
64,0.154140976,509.6090138
64,0.07786046,536.1344924
64,0.088275207,494.6158383
64,0.110701353,490.4943805
64,0.092498475,519.663482
64,0.115667031,513.7622743
64,0.074884315,496.3646383
64,0.049879645,483.5350609
64,0.092097046,482.8873675
128,0.045139811,931.4418797
128,0.137634773,894.4775479
128,0.106011353,888.2743995
128,0.037915957,913.343534
128,0.080860863,934.8552878
128,0.088750059,951.1041739
128,0.054874924,934.6167846
128,0.120787543,934.2816842
128,0.124577772,936.1526716
128,0.073481933,922.4977441
256,0.056956774,1550.248482
256,0.074484917,1543.758213
256,0.090659056,1566.497061
256,0.128567112,1562.740253
256,0.049303942,1558.098786
256,0.021524986,1786.813368
256,0.01439539,1623.875253
256,0.111512461,1575.779078
256,0.136348257,1589.786768
256,0.081057223,1938.485606
