run,TE_sec,ln_yy_sec,ln_yyx_sec,loss_yy,loss_yyx,run_duration_sec,weight_yy,weight_yyx
1,0.4400656484016931,-0.3603460563883622,-0.8004117047900553,0.7266674792613285,0.38961072972691024,286.4115364551544,0.0983721447920956,0.09572911468211082
2,0.5004542971595705,-0.4027040981771504,-0.9031583953367208,0.6972925806847335,0.3174528338906791,188.0778136253357,0.10130467712126398,0.10289204961930602
3,0.4156953009224128,-0.5025366178849825,-0.9182319188073953,0.6290335907072978,0.2623684046412316,296.6417920589447,0.10846109867749958,0.108718808009885
4,0.48086358069504676,-0.3866102887031594,-0.8674738693982061,0.716220119940421,0.34408084556209817,199.71438264846802,0.0994052612083106,0.10018839514314286
5,0.44503460357695696,-0.3725147205466217,-0.8175493241235787,0.7316778679158167,0.3706693051241036,259.22997856140137,0.09788049482116089,0.09755964216023845
6,0.48256290363644583,-0.3886655937499486,-0.8712284973863944,0.7346817031694332,0.3596176539872921,288.58317708969116,0.09758691908748995,0.09864381721769702
7,0.5361088669374354,-0.39124301813665185,-0.9273518850740873,0.717845943160392,0.34369377339982843,200.82317447662354,0.09924377713430035,0.10022718278820979
8,0.438474326914743,-0.36097210338991687,-0.7994464303046599,0.7304821704898461,0.3994850920876221,181.55752611160278,0.09799760027426362,0.09478850233156523
9,0.543045096478806,-0.3591727121695375,-0.9022178086483436,0.7145138915049688,0.32973132336292965,209.7429118156433,0.09957501406901448,0.10163641509397905
10,0.45582522308528506,-0.3889842684896216,-0.8448094915749067,0.7085263426768438,0.3498096839610476,195.02468490600586,0.100173012814601,0.0996160729538657
WEIGHTED_AVG,0.47406614001764,-0.3925043853110648,-0.8665705253287048,0.7106941689511082,0.3466519645743743,2305.806977748871,,
WEIGHTED_STD,0.043070929294579445,0.0431928274868055,0.047814165462861914,,,,,
